species,Phylum,window_label,cell_id,n_obs,tgb,n_corr,p_corr
Acacia mearnsii,Tracheophyta,2015-2019,5462,1,525,0.15960924559651557,0.0019047619047619048
Acacia mearnsii,Tracheophyta,2015-2019,5463,1,742,0.15127000140916244,0.0013477088948787063
Acacia mearnsii,Tracheophyta,2015-2019,5470,1,873,0.1476433091794241,0.001145475372279496
Acacia mearnsii,Tracheophyta,2015-2019,5598,8,791,1.198580630303449,0.010113780025284451
Acacia mearnsii,Tracheophyta,2015-2019,5734,1,681,0.15325600839192235,0.0014684287812041115
Acacia mearnsii,Tracheophyta,2015-2019,6009,1,1277,0.139800472726315,7.830853563038371e-4
Acacia mearnsii,Tracheophyta,2015-2019,6010,1,935,0.14616430921003037,0.0010695187165775401
Acacia mearnsii,Tracheophyta,2015-2019,6370,4,3344,0.4929008736327918,0.0011961722488038277
Acacia mearnsii,Tracheophyta,2015-2019,6411,3,889,0.44174674857322593,0.003374578177727784
Acacia mearnsii,Tracheophyta,2015-2019,6830,1,745,0.1511778508195708,0.0013422818791946308
Acacia mearnsii,Tracheophyta,2015-2019,6857,1,291,0.17615701417250582,0.003436426116838488
Acacia mearnsii,Tracheophyta,2015-2019,6965,1,813,0.14921007367825742,0.0012300123001230013
Acacia mearnsii,Tracheophyta,2015-2019,7098,2,812,0.29847489285911183,0.0024630541871921183
Acacia mearnsii,Tracheophyta,2015-2019,7223,2,658,0.3081320579082858,0.00303951367781155
Acacia mearnsii,Tracheophyta,2015-2019,7235,14,856,2.0730182417826724,0.016355140186915886
Acacia mearnsii,Tracheophyta,2015-2019,7364,1,458,0.16315741684715643,0.002183406113537118
Acacia mearnsii,Tracheophyta,2015-2019,7371,3,741,0.45390247808456224,0.004048582995951417
Acacia mearnsii,Tracheophyta,2015-2019,7373,1,836,0.14859229446799904,0.0011961722488038277
Acacia mearnsii,Tracheophyta,2015-2019,7494,2,828,0.2976092975870275,0.0024154589371980675
Acacia mearnsii,Tracheophyta,2015-2019,7501,1,725,0.15180150401129003,0.001379310344827586
Acacia mearnsii,Tracheophyta,2015-2019,7764,2,1070,0.28668294354063645,0.001869158878504673
Acacia mearnsii,Tracheophyta,2015-2019,7765,2,2224,0.2594871016099257,8.992805755395684e-4
Acacia mearnsii,Tracheophyta,2015-2019,7766,1,1719,0.1342267543091273,5.817335660267597e-4
Acacia mearnsii,Tracheophyta,2015-2019,7768,1,458,0.16315741684715643,0.002183406113537118
Acacia mearnsii,Tracheophyta,2015-2019,7903,2,4407,0.23834560452319864,4.538234626730202e-4
Acacia mearnsii,Tracheophyta,2015-2019,7912,1,824,0.14891182565018218,0.0012135922330097086
Acacia mearnsii,Tracheophyta,2015-2019,8039,1,1472,0.13707913179990178,6.793478260869565e-4
Acacia mearnsii,Tracheophyta,2015-2019,8043,1,589,0.15673680156085543,0.001697792869269949
Acacia mearnsii,Tracheophyta,2015-2019,8175,1,1040,0.14392761335118773,9.615384615384616e-4
Acacia mearnsii,Tracheophyta,2015-2019,8176,6,1806,0.8000615204007481,0.0033222591362126247
Acacia mearnsii,Tracheophyta,2015-2019,8179,1,770,0.15042823065786623,0.0012987012987012987
Acacia mearnsii,Tracheophyta,2015-2019,8313,1,623,0.15537237988014035,0.0016051364365971107
Acacia mearnsii,Tracheophyta,2015-2019,8449,1,911,0.1467213646049832,0.0010976948408342481
Acacia mearnsii,Tracheophyta,2015-2019,8450,1,574,0.15737201226551786,0.0017421602787456446
Acacia mearnsii,Tracheophyta,2015-2019,8585,1,511,0.1602994489876626,0.0019569471624266144
Acacia mearnsii,Tracheophyta,2015-2019,8723,1,747,0.15111668479740828,0.0013386880856760374
Acacia mearnsii,Tracheophyta,2015-2019,8857,2,805,0.2988605757122322,0.002484472049689441
Acacia mearnsii,Tracheophyta,2015-2019,8859,1,768,0.15048702938590383,0.0013020833333333333
Acacia mearnsii,Tracheophyta,2015-2019,8863,1,735,0.15148691713728024,0.0013605442176870747
Acacia mearnsii,Tracheophyta,2015-2019,8993,1,819,0.14904674900490525,0.001221001221001221
Acacia mearnsii,Tracheophyta,2015-2019,8998,2,584,0.31389231609720525,0.003424657534246575
Acacia mearnsii,Tracheophyta,2015-2019,9536,1,804,0.14945801418380114,0.0012437810945273632
Acacia mearnsii,Tracheophyta,2015-2019,9943,3,1015,0.4332988034349002,0.002955665024630542
Acacia mearnsii,Tracheophyta,2015-2019,9945,3,735,0.4544607514118407,0.004081632653061225
Acacia mearnsii,Tracheophyta,2015-2019,9946,3,738,0.4541808766090213,0.0040650406504065045
Acacia mearnsii,Tracheophyta,2015-2019,10214,1,1026,0.144208641317549,9.746588693957114e-4
Acacia mearnsii,Tracheophyta,2015-2019,10240,2,25,0.6138553528602697,0.08
Acacia mearnsii,Tracheophyta,2015-2019,10351,4,958,0.5825900755449878,0.0041753653444676405
Acacia mearnsii,Tracheophyta,2015-2019,10484,1,1409,0.13790545096020976,7.097232079489e-4
Acacia mearnsii,Tracheophyta,2015-2019,10628,1,1344,0.1388088946331918,7.44047619047619e-4
Acacia mearnsii,Tracheophyta,2015-2019,10630,3,1460,0.41169903680021913,0.002054794520547945
Acacia mearnsii,Tracheophyta,2015-2019,12154,1,301,0.17511825244545517,0.0033222591362126247
Acacia mearnsii,Tracheophyta,2020-2024,993,1,39,0.2710850306818168,0.02564102564102564
Acacia mearnsii,Tracheophyta,2020-2024,1957,1,4518,0.11882064319536105,2.213368747233289e-4
Acacia mearnsii,Tracheophyta,2020-2024,2381,5,1457,0.6863586709967612,0.0034317089910775567
Acacia mearnsii,Tracheophyta,2020-2024,2384,1,2031,0.13128914715567683,4.923682914820286e-4
Acacia mearnsii,Tracheophyta,2020-2024,2524,1,1662,0.13483669998848588,6.016847172081829e-4
Acacia mearnsii,Tracheophyta,2020-2024,2747,2,1240,0.28075405206059806,0.0016129032258064516
Acacia mearnsii,Tracheophyta,2020-2024,2796,2,4479,0.23788628542568854,4.4652824291136416e-4
Acacia mearnsii,Tracheophyta,2020-2024,2801,1,1238,0.14040881663736504,8.077544426494346e-4
Acacia mearnsii,Tracheophyta,2020-2024,2940,1,1498,0.13675113628358027,6.675567423230974e-4
Acacia mearnsii,Tracheophyta,2020-2024,3561,2,789,0.2997587116773134,0.0025348542458808617
Acacia mearnsii,Tracheophyta,2020-2024,4514,1,1459,0.13724590830929664,6.854009595613434e-4
Acacia mearnsii,Tracheophyta,2020-2024,4785,4,737,0.60569867131509,0.005427408412483039
Acacia mearnsii,Tracheophyta,2020-2024,5191,3,1186,0.4237776321074928,0.002529510961214165
Acacia mearnsii,Tracheophyta,2020-2024,5327,3,2145,0.39106490100484687,0.0013986013986013986
Acacia mearnsii,Tracheophyta,2020-2024,5328,2,581,0.31414580754280563,0.0034423407917383822
Acacia mearnsii,Tracheophyta,2020-2024,5462,1,890,0.14722457182171475,0.0011235955056179776
Acacia mearnsii,Tracheophyta,2020-2024,5463,11,1473,1.5077301862408259,0.00746775288526816
Acacia mearnsii,Tracheophyta,2020-2024,5598,4,82,0.9052148187790263,0.04878048780487805
Acacia mearnsii,Tracheophyta,2020-2024,5733,1,251,0.18085049725270286,0.00398406374501992
Acacia mearnsii,Tracheophyta,2020-2024,5734,1,187,0.1909693656682039,0.0053475935828877
Acacia mearnsii,Tracheophyta,2020-2024,5745,1,188,0.19077608994233797,0.005319148936170213
Acacia mearnsii,Tracheophyta,2020-2024,6009,2,2382,0.2571978265870863,8.396305625524769e-4
Acacia mearnsii,Tracheophyta,2020-2024,6010,3,1378,0.41498862111102264,0.0021770682148040637
Acacia mearnsii,Tracheophyta,2020-2024,6011,1,724,0.15183327316756143,0.0013812154696132596
Acacia mearnsii,Tracheophyta,2020-2024,6102,1,1396,0.13808183204679822,7.163323782234957e-4
Acacia mearnsii,Tracheophyta,2020-2024,6145,2,2535,0.25515595827890175,7.889546351084812e-4
Acacia mearnsii,Tracheophyta,2020-2024,6146,2,7764,0.22327953179164978,2.5759917568263783e-4
Acacia mearnsii,Tracheophyta,2020-2024,6275,2,319,0.3467213425637008,0.006269592476489028
Acacia mearnsii,Tracheophyta,2020-2024,6297,1,163,0.19608356692326917,0.006134969325153374
Acacia mearnsii,Tracheophyta,2020-2024,6682,1,824,0.14891182565018218,0.0012135922330097086
Acacia mearnsii,Tracheophyta,2020-2024,6684,1,1476,0.13702819290572618,6.775067750677507e-4
Acacia mearnsii,Tracheophyta,2020-2024,6728,1,10430,0.10807846048429623,9.587727708533077e-5
Acacia mearnsii,Tracheophyta,2020-2024,6729,1,11073,0.1073842189291289,9.030976248532467e-5
Acacia mearnsii,Tracheophyta,2020-2024,6826,2,117,0.41922704128110494,0.017094017094017096
Acacia mearnsii,Tracheophyta,2020-2024,6830,1,41,0.267546386419054,0.024390243902439025
Acacia mearnsii,Tracheophyta,2020-2024,6952,1,1566,0.1359264799549756,6.385696040868455e-4
Acacia mearnsii,Tracheophyta,2020-2024,6959,2,290,0.3525270649696514,0.006896551724137931
Acacia mearnsii,Tracheophyta,2020-2024,7087,2,1333,0.2779346090793459,0.0015003750937734434
Acacia mearnsii,Tracheophyta,2020-2024,7097,1,352,0.1704603162064691,0.002840909090909091
Acacia mearnsii,Tracheophyta,2020-2024,7520,1,1309,0.13931879541844353,7.639419404125286e-4
Acacia mearnsii,Tracheophyta,2020-2024,7629,2,1542,0.2724244907732402,0.0012970168612191958
Acacia mearnsii,Tracheophyta,2020-2024,7630,1,2303,0.12915888340366438,4.342162396873643e-4
Acacia mearnsii,Tracheophyta,2020-2024,7764,3,3284,0.37050201609840594,9.135200974421437e-4
Acacia mearnsii,Tracheophyta,2020-2024,7765,10,6562,1.1377595775762166,0.0015239256324291375
Acacia mearnsii,Tracheophyta,2020-2024,7766,3,4663,0.35512924355276304,6.433626420759168e-4
Acacia mearnsii,Tracheophyta,2020-2024,7767,6,2614,0.7624838258651535,0.0022953328232593728
Acacia mearnsii,Tracheophyta,2020-2024,7773,1,220,0.18524821412271236,0.004545454545454545
Acacia mearnsii,Tracheophyta,2020-2024,7776,2,81,0.4538523758330248,0.024691358024691357
Acacia mearnsii,Tracheophyta,2020-2024,7902,8,8695,0.8819685297970846,9.200690051753881e-4
Acacia mearnsii,Tracheophyta,2020-2024,7903,2,11264,0.21437477507174527,1.775568181818182e-4
Acacia mearnsii,Tracheophyta,2020-2024,7912,1,250,0.18098063833245323,0.004
Acacia mearnsii,Tracheophyta,2020-2024,8039,1,4153,0.12002169505770785,2.4078979051288225e-4
Acacia mearnsii,Tracheophyta,2020-2024,8040,1,1081,0.1431318238809052,9.250693802035153e-4
Acacia mearnsii,Tracheophyta,2020-2024,8041,2,208,0.37436818919827736,0.009615384615384616
Acacia mearnsii,Tracheophyta,2020-2024,8175,2,1718,0.26847446613917375,0.0011641443538998836
Acacia mearnsii,Tracheophyta,2020-2024,8313,1,1773,0.13367210902362778,5.640157924421884e-4
Acacia mearnsii,Tracheophyta,2020-2024,8325,1,107,0.21357795232369067,0.009345794392523364
Acacia mearnsii,Tracheophyta,2020-2024,8452,1,848,0.1482786512357031,0.0011792452830188679
Acacia mearnsii,Tracheophyta,2020-2024,8464,1,84,0.22509081678177853,0.011904761904761904
Acacia mearnsii,Tracheophyta,2020-2024,8721,2,127,0.41219858311113244,0.015748031496062992
Acacia mearnsii,Tracheophyta,2020-2024,8857,11,253,1.9865154367722004,0.043478260869565216
Acacia mearnsii,Tracheophyta,2020-2024,8859,3,344,0.5133870448997222,0.00872093023255814
Acacia mearnsii,Tracheophyta,2020-2024,8863,1,59,0.2442393366759723,0.01694915254237288
Acacia mearnsii,Tracheophyta,2020-2024,8992,3,531,0.477962465941278,0.005649717514124294
Acacia mearnsii,Tracheophyta,2020-2024,8998,4,120,0.8340647828484926,0.03333333333333333
Acacia mearnsii,Tracheophyta,2020-2024,9128,1,209,0.18701699830334648,0.004784688995215311
Acacia mearnsii,Tracheophyta,2020-2024,9400,1,541,0.15884952276382172,0.0018484288354898336
Acacia mearnsii,Tracheophyta,2020-2024,9401,1,196,0.18927909112429256,0.00510204081632653
Acacia mearnsii,Tracheophyta,2020-2024,9406,1,51,0.2530848692773169,0.0196078431372549
Acacia mearnsii,Tracheophyta,2020-2024,9536,1,394,0.1672552444253863,0.0025380710659898475
Acacia mearnsii,Tracheophyta,2020-2024,9538,2,251,0.3617009945054057,0.00796812749003984
Acacia mearnsii,Tracheophyta,2020-2024,9545,3,67,0.7109834155107416,0.04477611940298507
Acacia mearnsii,Tracheophyta,2020-2024,9682,1,373,0.1687975729266148,0.002680965147453083
Acacia mearnsii,Tracheophyta,2020-2024,9817,1,246,0.18150835245207098,0.0040650406504065045
Acacia mearnsii,Tracheophyta,2020-2024,10078,1,2432,0.12825642513874919,4.1118421052631577e-4
Acacia mearnsii,Tracheophyta,2020-2024,10096,1,32,0.28599966750267436,0.03125
Acacia mearnsii,Tracheophyta,2020-2024,10214,1,634,0.15495167447311847,0.0015772870662460567
Acacia mearnsii,Tracheophyta,2020-2024,10372,1,354,0.17029631145892507,0.002824858757062147
Acacia mearnsii,Tracheophyta,2020-2024,10489,1,2848,0.12571147454785978,3.5112359550561797e-4
Acacia mearnsii,Tracheophyta,2020-2024,10632,1,2172,0.13014285554370622,4.6040515653775324e-4
Acacia mearnsii,Tracheophyta,2020-2024,10636,1,384,0.16797566365891456,0.0026041666666666665
Acacia mearnsii,Tracheophyta,2020-2024,10638,1,983,0.14510363953849104,0.001017293997965412
Acacia mearnsii,Tracheophyta,2020-2024,10765,2,7475,0.2242289927645222,2.6755852842809364e-4
Acacia mearnsii,Tracheophyta,2020-2024,10913,1,109,0.21274421382066935,0.009174311926605505
Acacia mearnsii,Tracheophyta,2020-2024,11049,1,420,0.16549077654129118,0.002380952380952381
Acacia mearnsii,Tracheophyta,2020-2024,11185,1,1641,0.13506814334358058,6.093845216331506e-4
Acacia mearnsii,Tracheophyta,2020-2024,12156,1,1493,0.1368136469387178,6.697923643670462e-4
Acacia mearnsii,Tracheophyta,2020-2024,12287,1,1044,0.1438482125638629,9.578544061302681e-4
Acacia mearnsii,Tracheophyta,2020-2024,12288,6,197,1.13458718426554,0.030456852791878174
Acacia mearnsii,Tracheophyta,2020-2024,12425,1,498,0.160963045876005,0.002008032128514056
Acacia saligna,Tracheophyta,1950-1954,6009,10,6109,1.1470939109916043,0.001636929120969062
Acacia saligna,Tracheophyta,1955-1959,6009,10,7464,1.1213300774262327,0.0013397642015005359
Acacia saligna,Tracheophyta,1960-1964,6009,7,7187,0.7882733530023662,9.739807986642549e-4
Acacia saligna,Tracheophyta,1965-1969,6009,7,5619,0.8107400407597466,0.0012457732692649937
Acacia saligna,Tracheophyta,1970-1974,6009,8,5485,0.9291570403364902,0.0014585232452142207
Acacia saligna,Tracheophyta,1975-1979,6009,4,4936,0.4703385055642261,8.103727714748784e-4
Acacia saligna,Tracheophyta,1980-1984,6009,4,4559,0.4747730580401,8.77385391533231e-4
Acacia saligna,Tracheophyta,1985-1989,6009,4,5591,0.46354817730444253,7.154355213736362e-4
Acacia saligna,Tracheophyta,1990-1994,6009,5,5314,0.5828668646373584,9.40910801656003e-4
Acacia saligna,Tracheophyta,1995-1999,5869,2,747,0.30223336959481656,0.002677376171352075
Acacia saligna,Tracheophyta,1995-1999,6009,2,2034,0.2625274455127143,9.832841691248771e-4
Acacia saligna,Tracheophyta,1995-1999,6951,1,371,0.16895048713841182,0.0026954177897574125
Acacia saligna,Tracheophyta,1995-1999,8449,1,198,0.18891789404024137,0.005050505050505051
Acacia saligna,Tracheophyta,1995-1999,9230,1,1048,0.1437692021802529,9.541984732824427e-4
Acacia saligna,Tracheophyta,2000-2004,6009,1,970,0.14538420131843702,0.0010309278350515464
Acacia saligna,Tracheophyta,2000-2004,10426,2,256,0.36042035996660243,0.0078125
Acacia saligna,Tracheophyta,2000-2004,10497,1,38,0.2729584204093974,0.02631578947368421
Acacia saligna,Tracheophyta,2005-2009,8176,4,871,0.5907730619822881,0.004592422502870264
Acacia saligna,Tracheophyta,2005-2009,8312,2,1066,0.28683679070887,0.001876172607879925
Acacia saligna,Tracheophyta,2005-2009,8449,6,4118,0.720862235334778,0.0014570179698882952
Acacia saligna,Tracheophyta,2005-2009,8585,2,696,0.30549344059952394,0.0028735632183908046
Acacia saligna,Tracheophyta,2005-2009,8856,2,133,0.40834328636474493,0.015037593984962405
Acacia saligna,Tracheophyta,2005-2009,9399,4,268,0.7149609208767923,0.014925373134328358
Acacia saligna,Tracheophyta,2005-2009,9749,1,777,0.1502239871756524,0.001287001287001287
Acacia saligna,Tracheophyta,2005-2009,9885,2,458,0.32631483369431286,0.004366812227074236
Acacia saligna,Tracheophyta,2005-2009,10023,4,827,0.5953255199968381,0.0048367593712212815
Acacia saligna,Tracheophyta,2005-2009,10156,1,2184,0.13004964723587947,4.578754578754579e-4
Acacia saligna,Tracheophyta,2005-2009,10158,5,521,0.7990197513338693,0.009596928982725527
Acacia saligna,Tracheophyta,2005-2009,10292,4,1802,0.5335320047737626,0.0022197558268590455
Acacia saligna,Tracheophyta,2005-2009,10765,3,605,0.4682466358856412,0.0049586776859504135
Acacia saligna,Tracheophyta,2005-2009,11102,1,289,0.17637054703334476,0.0034602076124567475
Acacia saligna,Tracheophyta,2005-2009,11185,1,601,0.1562437149669608,0.0016638935108153079
Acacia saligna,Tracheophyta,2005-2009,11730,1,103,0.21531348711084464,0.009708737864077669
Acacia saligna,Tracheophyta,2005-2009,12584,1,179,0.19256851707299927,0.00558659217877095
Acacia saligna,Tracheophyta,2010-2014,5598,3,920,0.43953081317078635,0.003260869565217391
Acacia saligna,Tracheophyta,2010-2014,5869,1,840,0.14848710218668504,0.0011904761904761906
Acacia saligna,Tracheophyta,2010-2014,6005,4,664,0.6154047778765971,0.006024096385542169
Acacia saligna,Tracheophyta,2010-2014,7090,1,1318,0.13918602877669584,7.587253414264037e-4
Acacia saligna,Tracheophyta,2010-2014,7850,1,409,0.16621906201169442,0.0024449877750611247
Acacia saligna,Tracheophyta,2010-2014,7901,2,620,0.31097761482351355,0.0032258064516129032
Acacia saligna,Tracheophyta,2010-2014,7984,1,2019,0.1313913207284709,4.952947003467063e-4
Acacia saligna,Tracheophyta,2010-2014,8038,2,1308,0.2786672384778752,0.0015290519877675841
Acacia saligna,Tracheophyta,2010-2014,8039,2,6894,0.22628141436149724,2.901073397156948e-4
Acacia saligna,Tracheophyta,2010-2014,8041,1,649,0.15439312443721048,0.0015408320493066256
Acacia saligna,Tracheophyta,2010-2014,8174,1,1225,0.14061707040902857,8.163265306122449e-4
Acacia saligna,Tracheophyta,2010-2014,8175,1,1509,0.13661454269841253,6.626905235255136e-4
Acacia saligna,Tracheophyta,2010-2014,8449,3,1155,0.42536773807700007,0.0025974025974025974
Acacia saligna,Tracheophyta,2010-2014,8585,1,644,0.15457741639765474,0.0015527950310559005
Acacia saligna,Tracheophyta,2010-2014,8794,1,7337,0.11234917902947052,1.362954886193267e-4
Acacia saligna,Tracheophyta,2010-2014,8795,2,6564,0.22754402732516377,3.046922608165753e-4
Acacia saligna,Tracheophyta,2010-2014,8824,2,1540,0.2724726284045299,0.0012987012987012987
Acacia saligna,Tracheophyta,2010-2014,8825,3,5562,0.3478707430703568,5.393743257820927e-4
Acacia saligna,Tracheophyta,2010-2014,8927,1,9497,0.10918417386550688,1.0529640939243972e-4
Acacia saligna,Tracheophyta,2010-2014,8929,3,11201,0.32175558037770297,2.6783322917596643e-4
Acacia saligna,Tracheophyta,2010-2014,8930,2,5284,0.2333006895581691,3.785011355034065e-4
Acacia saligna,Tracheophyta,2010-2014,8931,7,5385,0.8147532469977676,0.0012999071494893223
Acacia saligna,Tracheophyta,2010-2014,8961,21,7009,2.37151660037477,0.0029961478099586247
Acacia saligna,Tracheophyta,2010-2014,8992,1,630,0.15510354577870902,0.0015873015873015873
Acacia saligna,Tracheophyta,2010-2014,9100,1,368,0.16918193269400245,0.002717391304347826
Acacia saligna,Tracheophyta,2010-2014,9201,2,7774,0.22324745547619756,2.572678157962439e-4
Acacia saligna,Tracheophyta,2010-2014,9228,14,9566,1.527371319533813,0.0014635166213673428
Acacia saligna,Tracheophyta,2010-2014,9232,1,1088,0.14299983375133718,9.191176470588235e-4
Acacia saligna,Tracheophyta,2010-2014,9338,1,2310,0.1291082968495009,4.329004329004329e-4
Acacia saligna,Tracheophyta,2010-2014,9339,1,4645,0.11843062491154302,2.1528525296017224e-4
Acacia saligna,Tracheophyta,2010-2014,9340,1,1082,0.14311290100607968,9.242144177449168e-4
Acacia saligna,Tracheophyta,2010-2014,9475,1,8363,0.1107212240293395,1.1957431543704412e-4
Acacia saligna,Tracheophyta,2010-2014,9611,1,8568,0.11042517058049281,1.1671335200746966e-4
Acacia saligna,Tracheophyta,2010-2014,9612,4,3113,0.497285854064184,0.00128493414712496
Acacia saligna,Tracheophyta,2010-2014,9671,1,235,0.18302173926368012,0.00425531914893617
Acacia saligna,Tracheophyta,2010-2014,9747,2,7596,0.22382609256765415,2.632964718272775e-4
Acacia saligna,Tracheophyta,2010-2014,9748,2,2092,0.2615625790537216,9.560229445506692e-4
Acacia saligna,Tracheophyta,2010-2014,9884,1,3182,0.1239836528814615,3.1426775612822125e-4
Acacia saligna,Tracheophyta,2010-2014,9886,3,1939,0.3962779853325904,0.0015471892728210418
Acacia saligna,Tracheophyta,2010-2014,9887,1,609,0.1559221017361389,0.0016420361247947454
Acacia saligna,Tracheophyta,2010-2014,10021,4,2609,0.5084462131388673,0.0015331544653123803
Acacia saligna,Tracheophyta,2010-2014,10022,2,1518,0.27300744652263037,0.0013175230566534915
Acacia saligna,Tracheophyta,2010-2014,10023,9,1930,1.1895646185446829,0.00466321243523316
Acacia saligna,Tracheophyta,2010-2014,10078,1,1107,0.14264700614298287,9.033423667570009e-4
Acacia saligna,Tracheophyta,2010-2014,10158,3,389,0.5028371126588549,0.007712082262210797
Acacia saligna,Tracheophyta,2010-2014,10159,2,56,0.4946758939001028,0.03571428571428571
Acacia saligna,Tracheophyta,2010-2014,10290,1,1204,0.14095952864803235,8.305647840531562e-4
Acacia saligna,Tracheophyta,2010-2014,10291,3,581,0.47121871131420845,0.0051635111876075735
Acacia saligna,Tracheophyta,2010-2014,10349,1,1182,0.14132659872863612,8.460236886632825e-4
Acacia saligna,Tracheophyta,2010-2014,10354,4,1469,0.5484698070997439,0.002722940776038121
Acacia saligna,Tracheophyta,2010-2014,10425,1,2027,0.1313231201724803,4.93339911198816e-4
Acacia saligna,Tracheophyta,2010-2014,10426,2,2553,0.25492593263016605,7.833920877399138e-4
Acacia saligna,Tracheophyta,2010-2014,10627,4,514,0.6405978673591848,0.007782101167315175
Acacia saligna,Tracheophyta,2010-2014,10628,6,732,0.9094842332016587,0.00819672131147541
Acacia saligna,Tracheophyta,2010-2014,10764,2,349,0.3414173475962711,0.0057306590257879654
Acacia saligna,Tracheophyta,2010-2014,10765,1,608,0.15596199989572834,0.001644736842105263
Acacia saligna,Tracheophyta,2010-2014,10962,1,325,0.1728041701966084,0.003076923076923077
Acacia saligna,Tracheophyta,2010-2014,10967,2,519,0.3198040848668765,0.0038535645472061657
Acacia saligna,Tracheophyta,2010-2014,11095,1,190,0.19039374352829713,0.005263157894736842
Acacia saligna,Tracheophyta,2010-2014,11102,3,680,0.4598714412786423,0.004411764705882353
Acacia saligna,Tracheophyta,2010-2014,11185,1,1281,0.13973942380942367,7.8064012490242e-4
Acacia saligna,Tracheophyta,2010-2014,11459,1,9,0.43429448190325176,0.1111111111111111
Acacia saligna,Tracheophyta,2010-2014,11730,3,302,0.5250508034095157,0.009933774834437087
Acacia saligna,Tracheophyta,2010-2014,11773,3,333,0.5162497354006341,0.009009009009009009
Acacia saligna,Tracheophyta,2010-2014,11867,2,292,0.3521019760605642,0.00684931506849315
Acacia saligna,Tracheophyta,2010-2014,12041,1,120,0.20851619571212315,0.008333333333333333
